Timestamp,temperature,humidity,pressure,voc,pir
2026-03:16 11:19:41,31.41,78.62,101086,25.97,0
2026-03:16 11:19:51,31.41,78.62,101086,25.91,0
2026-03:16 11:20:01,31.41,78.60,101085,26.07,0
2026-03:16 11:20:11,31.41,78.58,101086,26.02,0
2026-03:16 11:20:22,31.41,78.56,101086,25.95,0
2026-03:16 11:20:32,31.41,78.53,101087,26.03,0
2026-03:16 11:20:42,31.40,78.52,101086,26.05,0
2026-03:16 11:20:52,31.40,78.52,101086,26.07,0
2026-03:16 11:21:02,31.40,78.53,101086,26.02,0
2026-03:16 11:21:13,31.39,78.52,101086,26.16,0
2026-03:16 11:21:23,31.39,78.50,101086,26.08,0
2026-03:16 11:21:33,31.39,78.49,101087,26.15,0
2026-03:16 11:21:43,31.38,78.47,101088,25.94,0
2026-03:16 11:21:54,31.38,78.50,101087,26.13,0
2026-03:16 11:22:04,31.38,78.48,101086,26.10,0
2026-03:16 11:22:14,31.38,78.45,101087,26.11,0
2026-03:16 11:22:24,31.38,78.43,101087,26.07,0
2026-03:16 11:22:35,31.38,78.40,101088,26.23,0
2026-03:16 11:22:45,31.38,78.42,101088,26.26,0
2026-03:16 11:22:55,31.38,78.41,101087,26.18,0
2026-03:16 11:23:05,31.38,78.41,101087,26.13,0
2026-03:16 11:23:15,31.38,78.40,101088,26.28,0
2026-03:16 11:23:26,31.37,78.37,101088,26.26,0
2026-03:16 11:23:36,31.37,78.42,101088,26.21,0
2026-03:16 11:23:46,31.37,78.38,101088,26.29,0
2026-03:16 11:23:56,31.36,78.42,101089,26.29,0
2026-03:16 11:24:07,31.36,78.40,101089,26.18,0
2026-03:16 11:24:17,31.36,78.39,101089,26.28,0
2026-03:16 11:24:27,31.36,78.38,101089,26.34,0
2026-03:16 11:24:37,31.36,78.38,101090,26.39,0
2026-03:16 11:24:48,31.36,78.36,101091,26.29,1
2026-03:16 11:24:58,31.36,78.34,101091,26.33,1
2026-03:16 11:25:08,31.36,78.32,101092,26.41,1
2026-03:16 11:25:18,31.36,78.32,101092,26.28,0
2026-03:16 11:25:29,31.36,78.34,101092,26.29,0
2026-03:16 11:25:39,31.36,78.32,101092,26.33,0
2026-03:16 11:25:49,31.36,78.31,101092,26.39,0
2026-03:16 11:25:59,31.36,78.28,101092,26.42,0
2026-03:16 11:26:09,31.37,78.23,101092,26.49,0
2026-03:16 11:26:20,31.37,78.28,101093,26.47,0
2026-03:16 11:26:30,31.37,78.27,101093,26.42,0
2026-03:16 11:26:40,31.36,78.27,101092,26.41,0
2026-03:16 11:26:50,31.37,78.24,101092,26.49,0
2026-03:16 11:27:01,31.37,78.25,101092,26.49,0
2026-03:16 11:27:11,31.37,78.24,101093,26.49,0
2026-03:16 11:27:21,31.37,78.22,101093,26.56,0
2026-03:16 11:27:31,31.37,78.25,101093,26.52,0
2026-03:16 11:27:42,31.37,78.25,101093,26.59,0
2026-03:16 11:27:52,31.37,78.23,101094,26.57,0
2026-03:16 11:28:02,31.36,78.24,101094,26.62,0
2026-03:16 11:28:12,31.36,78.22,101094,26.52,0
2026-03:16 11:28:22,31.37,78.21,101094,26.62,0
2026-03:16 11:28:33,31.37,78.21,101095,26.59,0
2026-03:16 11:28:43,31.36,78.19,101095,26.62,0
2026-03:16 11:28:53,31.36,78.26,101095,26.62,0
2026-03:16 11:29:03,31.35,78.26,101095,26.71,0
2026-03:16 11:29:14,31.35,78.23,101095,26.66,0
2026-03:16 11:29:24,31.35,78.22,101095,26.73,0
2026-03:16 11:29:34,31.35,78.23,101096,26.73,0
2026-03:16 11:29:44,31.36,78.18,101097,26.69,0
2026-03:16 11:29:55,31.36,78.18,101098,26.66,0
2026-03:16 11:30:05,31.36,78.18,101098,26.73,0
2026-03:16 11:30:15,31.36,78.14,101097,26.74,0
2026-03:16 11:30:25,31.37,78.17,101098,26.74,0
2026-03:16 11:30:35,31.36,78.15,101098,26.67,0
2026-03:16 11:30:46,31.36,78.17,101099,26.66,0
2026-03:16 11:30:56,31.36,78.19,101099,26.69,0
2026-03:16 11:31:06,31.36,78.19,101099,26.77,0
2026-03:16 11:31:16,31.35,78.18,101100,26.79,0
2026-03:16 11:31:27,31.35,78.23,101099,26.81,0
2026-03:16 11:31:37,31.34,78.22,101099,26.77,0
2026-03:16 11:31:47,31.34,78.21,101098,26.77,0
2026-03:16 11:31:57,31.34,78.21,101098,26.74,0
2026-03:16 11:32:08,31.34,78.20,101098,26.76,0
2026-03:16 11:32:18,31.34,78.18,101098,26.76,0
2026-03:16 11:32:28,31.34,78.16,101098,26.74,0
2026-03:16 11:32:38,31.34,78.18,101099,26.98,0
2026-03:16 11:32:48,31.35,78.17,101099,26.81,0
2026-03:16 11:32:59,31.34,78.18,101099,26.83,0
2026-03:16 11:33:09,31.34,78.18,101099,26.79,0
2026-03:16 11:33:19,31.34,78.18,101099,26.76,0
2026-03:16 11:33:29,31.34,78.13,101099,26.89,0
2026-03:16 11:33:40,31.34,78.18,101100,26.83,0
2026-03:16 11:33:50,31.34,78.18,101099,26.67,0
2026-03:16 11:34:00,31.34,78.14,101099,26.81,0
2026-03:16 11:34:10,31.34,78.13,101099,26.73,0
2026-03:16 11:34:21,31.34,78.23,101098,26.76,0
2026-03:16 11:34:31,31.34,78.20,101098,26.83,0
2026-03:16 11:34:41,31.33,78.22,101098,26.77,0
2026-03:16 11:34:51,31.33,78.24,101099,26.83,0
2026-03:16 11:35:01,31.33,78.24,101098,26.91,0
2026-03:16 11:35:12,31.33,78.22,101099,26.89,0
2026-03:16 11:35:22,31.33,78.22,101099,27.01,0
2026-03:16 11:35:32,31.33,78.24,101099,26.96,0
2026-03:16 11:35:42,31.32,78.20,101099,27.01,0
2026-03:16 11:35:53,31.32,78.22,101099,27.01,0
2026-03:16 11:36:03,31.32,78.19,101099,27.14,0
2026-03:16 11:36:13,31.33,78.15,101099,27.20,0
2026-03:16 11:36:23,31.33,78.17,101098,27.12,0
2026-03:16 11:36:34,31.33,78.16,101098,27.08,0
2026-03:16 11:36:44,31.32,78.16,101097,27.20,0
2026-03:16 11:36:54,31.33,78.12,101096,27.20,0
2026-03:16 11:37:04,31.33,78.12,101096,27.26,0
2026-03:16 11:37:15,31.33,78.09,101096,27.31,0
2026-03:16 11:37:25,31.33,78.12,101096,27.20,0
2026-03:16 11:37:35,31.33,78.12,101095,27.27,0
2026-03:16 11:37:45,31.33,78.09,101095,27.34,0
2026-03:16 11:37:55,31.33,78.08,101095,27.38,0
2026-03:16 11:38:06,31.33,78.07,101095,27.24,0
2026-03:16 11:38:16,31.33,78.10,101095,27.34,0
2026-03:16 11:38:26,31.33,78.07,101095,27.52,0
2026-03:16 11:38:36,31.32,78.11,101095,27.52,0
2026-03:16 11:38:47,31.32,78.10,101096,27.50,0
2026-03:16 11:38:57,31.32,78.06,101095,27.58,0
2026-03:16 11:39:07,31.32,78.04,101095,27.56,0
2026-03:16 11:39:17,31.32,78.01,101095,27.65,0
2026-03:16 11:39:28,31.32,78.04,101094,27.61,0
2026-03:16 11:39:38,31.32,78.06,101094,27.54,0
2026-03:16 11:39:48,31.32,78.04,101094,27.70,0
2026-03:16 11:39:58,31.32,77.99,101093,27.63,0
2026-03:16 11:40:08,31.32,78.02,101093,27.76,0
2026-03:16 11:40:19,31.32,78.04,101093,27.74,0
2026-03:16 11:40:29,31.32,77.99,101092,27.72,0
2026-03:16 11:40:39,31.32,77.97,101092,27.83,0
2026-03:16 11:40:49,31.33,77.94,101092,27.83,0
2026-03:16 11:41:00,31.32,77.93,101091,27.74,0
2026-03:16 11:41:10,31.32,77.96,101091,27.92,0
2026-03:16 11:41:20,31.32,77.97,101091,27.96,0
2026-03:16 11:41:30,31.32,77.98,101091,27.94,0
2026-03:16 11:41:41,31.31,77.98,101091,27.87,0
2026-03:16 11:41:51,31.32,77.95,101091,27.98,0
2026-03:16 11:42:01,31.32,77.95,101091,28.14,0
2026-03:16 11:42:11,31.32,77.97,101091,27.98,0
2026-03:16 11:42:21,31.32,78.00,101091,28.01,0
2026-03:16 11:42:32,31.31,77.99,101091,28.03,0
2026-03:16 11:42:42,31.31,77.98,101091,28.18,0
2026-03:16 11:42:52,31.31,77.95,101090,28.22,0
2026-03:16 11:43:02,31.31,77.94,101090,28.20,0
2026-03:16 11:43:13,31.31,77.97,101090,28.16,0
2026-03:16 11:43:23,31.31,77.91,101090,28.37,0
2026-03:16 11:43:33,31.31,77.95,101090,28.35,0
2026-03:16 11:43:43,31.30,77.98,101090,28.28,0
2026-03:16 11:43:54,31.30,78.00,101090,28.22,0
2026-03:16 11:44:04,31.31,77.98,101090,28.28,0
2026-03:16 11:44:14,31.31,77.93,101090,28.24,0
2026-03:16 11:44:24,31.31,77.92,101089,28.31,0
2026-03:16 11:44:34,31.31,77.92,101090,28.41,0
2026-03:16 11:44:45,31.31,77.93,101090,28.33,0
2026-03:16 11:44:55,31.31,77.93,101090,28.28,0
2026-03:16 11:45:05,31.31,77.89,101090,28.49,0
2026-03:16 11:45:15,31.31,77.89,101090,28.52,0
2026-03:16 11:45:26,31.32,77.91,101091,28.54,0
2026-03:16 11:45:36,31.32,77.87,101091,28.33,0
2026-03:16 11:45:46,31.32,77.88,101091,28.49,0
2026-03:16 11:45:56,31.32,77.87,101091,28.37,0
2026-03:16 11:46:07,31.32,77.88,101091,28.52,0
2026-03:16 11:46:17,31.32,77.89,101092,28.45,0
2026-03:16 11:46:27,31.32,77.86,101092,28.60,0
2026-03:16 11:46:37,31.32,77.85,101092,28.52,0
2026-03:16 11:46:48,31.32,77.91,101092,28.52,0
2026-03:16 11:46:58,31.32,77.87,101091,28.58,0
2026-03:16 11:47:08,31.32,77.86,101092,28.54,0
2026-03:16 11:47:18,31.32,77.83,101091,28.50,0
2026-03:16 11:47:28,31.31,77.89,101091,28.60,0
2026-03:16 11:47:39,31.31,77.93,101092,28.60,0
2026-03:16 11:47:49,31.31,77.85,101093,28.60,0
2026-03:16 11:47:59,31.31,77.86,101092,28.62,0
2026-03:16 11:48:09,31.31,77.89,101093,28.66,0
2026-03:16 11:48:20,31.31,77.88,101093,28.54,0
2026-03:16 11:48:30,31.32,77.86,101093,28.58,0
2026-03:16 11:48:40,31.32,77.82,101094,28.58,0
2026-03:16 11:48:50,31.32,77.81,101093,28.58,0
2026-03:16 11:49:01,31.32,77.84,101094,28.64,0
2026-03:16 11:49:11,31.32,77.88,101093,28.39,0
2026-03:16 11:49:21,31.31,77.86,101093,28.50,0
2026-03:16 11:49:31,31.31,77.89,101093,28.52,0
2026-03:16 11:49:41,31.31,77.88,101093,28.39,0
2026-03:16 11:49:52,31.31,77.87,101093,28.45,0
