Timestamp,temperature,humidity,pressure,voc,pir
2026-03-17 20:58:49,31.17,77.71,101070,26.67,0
2026-03-17 20:58:59,31.17,77.71,101070,26.76,0
2026-03-17 20:59:09,31.17,77.72,101070,26.71,0
2026-03-17 20:59:19,31.17,77.73,101070,26.67,0
2026-03-17 20:59:30,31.16,77.75,101071,26.66,0
2026-03-17 20:59:40,31.16,77.76,101071,26.84,0
2026-03-17 20:59:50,31.17,77.76,101071,26.88,0
2026-03-17 21:00:00,31.17,77.77,101072,26.74,1
2026-03-17 21:00:11,31.17,77.78,101071,26.73,1
2026-03-17 21:00:21,31.17,77.79,101071,26.88,1
2026-03-17 21:00:31,31.17,77.79,101070,26.91,1
2026-03-17 21:00:41,31.17,77.80,101071,26.88,1
2026-03-17 21:00:52,31.18,77.80,101071,26.76,1
2026-03-17 21:01:02,31.18,77.81,101071,26.73,1
2026-03-17 21:01:12,31.18,77.84,101071,26.76,1
2026-03-17 21:01:22,31.18,77.83,101070,26.83,1
2026-03-17 21:01:32,31.18,77.87,101070,26.86,1
2026-03-17 21:01:43,31.18,77.85,101070,26.81,1
2026-03-17 21:01:53,31.18,77.87,101070,26.83,1
2026-03-17 21:02:03,31.18,77.89,101069,27.00,1
2026-03-17 21:02:13,31.18,77.91,101069,26.83,0
2026-03-17 21:02:24,31.18,77.89,101069,26.89,0
2026-03-17 21:02:34,31.18,77.89,101069,26.86,0
2026-03-17 21:02:44,31.18,77.91,101068,27.07,0
2026-03-17 21:02:54,31.17,77.92,101068,27.07,0
2026-03-17 21:03:05,31.17,77.95,101068,27.00,0
2026-03-17 21:03:15,31.17,77.94,101068,27.07,0
2026-03-17 21:03:25,31.17,77.94,101068,26.98,0
2026-03-17 21:03:35,31.17,77.94,101068,27.00,0
2026-03-17 21:03:45,31.18,77.93,101068,27.00,0
2026-03-17 21:03:56,31.18,77.96,101067,26.98,0
2026-03-17 21:04:06,31.18,77.97,101066,27.00,0
2026-03-17 21:04:16,31.18,77.96,101066,27.01,0
2026-03-17 21:04:26,31.18,77.99,101065,27.14,0
2026-03-17 21:04:37,31.18,77.99,101066,27.10,0
2026-03-17 21:04:47,31.18,77.97,101065,27.14,0
